id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,1,1,1,1,,1,3,3,2,1
ft,Toncar,Florian Toncar,0,2,1979,1,1,2,2,1,3,2,2,3,2
rss,Schwarzeluehr-Suetter,Rita Schwarzeluehr-Suetter,0,1,1962,1,2,3,3,2,2,1,1,2,
tl,Lindner,Tobias Lindner,0,2,1982,2,1,3,1,,0,3,2,3,
bs,Strasser,Benjamin Strasser,0,2,1987,1,3,2,2,2,0,2,2,2,3
co,Oezdemir,Cem Oezdemir,0,2,1965,3,4,4,1,3,2,4,4,4,
mat,Theurer,Michael A. Theurer,0,2,1967,1,4,5,2,1,2,2,2,4,
ck,Kuehn,Chris Kuehn,0,2,1979,1,5,1,1,1,3,1,1,,1
jb,Brandenburg,Jens Brandenburg,0,2,1986,1,1,1,2,,0,2,2,,
aa,Aus_Aus,Auswaertiger Ausschuss,1,,,,,,,,,,,,
aelt,Altes,Aeltestenrat,1,,,,,,,,,,,,
aeu,AEU,Ausschuss fuer die Angelegenheiten der Europaeischen Union,1,,,,,,,,,,,,
ago,Agora,Agora Verkehrswende Smart Energy for Europe Plattform (SEFEP) gemeinnuetzige GmbH,1,,,,,,,,,,,,
ai,AmnyI,Amnesty International,1,,,,,,,,,,,,
aids,AIDS_Stiftung,Deutsche AIDS-Stiftung,1,,,,,,,,,,,,
ajc,AJC,American Jewish Committee e.V. (AJC),1,,,,,,,,,,,,
aluf,ALUF,Albert-Ludwigs-Universitaet Freiburg,1,,,,,,,,,,,,
anws,Anw_St,AnwaltService Stuttgart GmbH,1,,,,,,,,,,,,
asy,asylos,Asylos,1,,,,,,,,,,,,
atli,Atl_Ini,Atlantische Initiative e.V.,1,,,,,,,,,,,,
ausa,Aus_Amt,Auswaertiges Amt,1,,,,,,,,,,,,
ava,Ava_EU,Avanti Europe e.V.,1,,,,,,,,,,,,
avi,Avic_Studi,Avicenna-Studienwerk e.V.,1,,,,,,,,,,,,
bert,Bert_Sti,Bertelsmann Stiftung,1,,,,,,,,,,,,
bft,BFT,Ausschuss fuer Bildung, Forschung und Technikfolgenabschaetzung,1,,,,,,,,,,,,
bmk,Bundst_MuKi,Bundesstiftung Mutter und Kind-Schutz des ungeborenen Lebens,1,,,,,,,,,,,,
boston,Boston_Consulting,The Boston Consulting Group GmbH,1,,,,,,,,,,,,
bub,Bund_Bau,Bundesstiftung Baukultur,1,,,,,,,,,,,,
bubf,Bund_BuF,Bundesministerium fuer Bildung und Forschung,1,,,,,,,,,,,,
buel,Bund_EuL,Bundesministerium fuer Ernaehrung und Landwirtschaft,1,,,,,,,,,,,,
bufi,Bund_Fi,Bundesministerium der Finanzen,1,,,,,,,,,,,,
bui,Bund_Im,Bundesanstalt fuer Immobilienaufgaben,1,,,,,,,,,,,,
buj,Bund_Jus,Bundesministerium der Justiz,1,,,,,,,,,,,,
bumh,Bundst_MaHi,Bundesstiftung Magnus Hirschfeld,1,,,,,,,,,,,,
bumu,Bundmus_CuO,Bundesmusikerverband Chor und Orchester e.V.,1,,,,,,,,,,,,
buun,Bund_UnnSuV,Bundesministerium fuer Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz,1,,,,,,,,,,,,
buwh,Bundab_WinnHerm,Bundestagsabgeordnete Winne Hermann,1,,,,,,,,,,,,
bvmw,Bundverb_mittWirt,Bundesverband mittelstaendische Wirtschaft e.V. (BVMW),1,,,,,,,,,,,,
bwsk,BWSK,Ausschuss fuer Bau, Wohnen, Stadtentwicklung und Kommunen,1,,,,,,,,,,,,
cou,ColumUni,Columbia University,1,,,,,,,,,,,,
covid,Parl_BegleitCovid,Parlamentarisches Begleitgremium Covid-19-Pandemie,1,,,,,,,,,,,,
cu,CamUni,Cambridge University,1,,,,,,,,,,,,
dbu,Deutsti_Umwelt,Deutsche Bundesstiftung Umwelt (DBU),1,,,,,,,,,,,,
detud,dEtudes,Institut d'Etudes Politiques Paris,1,,,,,,,,,,,,
dfev,deufr_ElyVert,Deutsch-franzoesische Arbeitsgruppe zum Elysee-Vertrag,1,,,,,,,,,,,,
dfin,deufr_Inst,Deutsch-Franzoesisches Institut e.V. (dfi),1,,,,,,,,,,,,
dfpv,deufr_ParlVer,Deutsch-Franzoesische Parlamentarische Versammlung,1,,,,,,,,,,,,
dgf,deugeo_PolWirKul,Deutsch-Georgisches Forum fuer Politik, Wirtschaft und Kultur e.V.,1,,,,,,,,,,,,
difk,Deut_IndustKonZuse,Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,,,,,,,,,,,,
dkp,deukan_Parl,Deutsch-Kanadische Parlamentariergruppe,1,,,,,,,,,,,,
dsi,DSI,DSI Deutschlandstiftung Integration gemeinnuetzige GmbH,1,,,,,,,,,,,,
dsw,DSW,Deutsches Studentenwerk e.V. (DSW),1,,,,,,,,,,,,
dts,deutuerk,Deutsch-Tuerkisches Forum Stuttgart e.V.,1,,,,,,,,,,,,
due,DENEF,Deutsche Unternehmensinitiative Energieeffizienz e.V. (DENEFF),1,,,,,,,,,,,,
ecfr,ECFR,European Council on Foreign Relations (ECFR),1,,,,,,,,,,,,
egitim,Sti_Egitim,Stiftung: Bildung Egitim,1,,,,,,,,,,,,
ekbb,Enq_berufBild,Enquete-Kommission Berufliche Bildung,1,,,,,,,,,,,,
epc,EPC,European Policy Centre,1,,,,,,,,,,,,
eubd,EuBeD,Europaeische Bewegung Deutschland e.V.,1,,,,,,,,,,,,
eup,EUParl,Europaeisches Parlament,1,,,,,,,,,,,,
evee,EUROSOLAR,EUROSOLAR-Europaeische Vereinigung fuer Erneuerbare Energien e.V.,1,,,,,,,,,,,,
evsr,EvFHSozReutl,Evangelische Fachhochschule fuer Sozialwesen Reutlingen,1,,,,,,,,,,,,
fc,FC_Playfair,FC Play Fair Verein fuer Integritaet und Nachhaltigkeit im Fussball e.V.,1,,,,,,,,,,,,
fdp,FDP,FDP-Bundestagsfraktion,1,,,,,,,,,,,,
fdpb,FDP_Boeb,FDP-Kreisverband Boeblingen,1,,,,,,,,,,,,
fdpbv,FDP_BundVorst,FDP-Bundesvorstand,1,,,,,,,,,,,,
fdpbw,FDP_BW,FDP Baden-Wuerttemberg,1,,,,,,,,,,,,
fdpdv,FDP_DVP,FDP/ DVP-Landtagsfraktion,1,,,,,,,,,,,,
fdpf,FDP_Freud,FDP-Kreistagsfraktion Freudenstadt,1,,,,,,,,,,,,
fdps,FDP_Stutt,FDP-Bezirksvorstand Region Stuttgart ,1,,,,,,,,,,,,
finanz,FinanzAus,Finanzausschuss,1,,,,,,,,,,,,
finma,Finanzmarkt,Finanzmarktgremium,1,,,,,,,,,,,,
fresh,frehfields,Freshfields Bruckhaus Deringer LLP,1,,,,,,,,,,,,
freund,freund_GivatHavivaDE,Freundeskreis Givat Haviva Deutschland e.V.,1,,,,,,,,,,,,
fried,FriedNauStift,Friedrich-Naumann-Stiftung fuer die Freiheit,1,,,,,,,,,,,,
friends,Friends_EU,Friends of Europe,1,,,,,,,,,,,,
fsfj,FSFJ,Ausschuss fuer Familie, Senioren, Frauen und Jugend,1,,,,,,,,,,,,
gb,Gem_Berg,Gemeinde Berg,1,,,,,,,,,,,,
geaus,Gem_Aus,Gemeinsamer Ausschuss,1,,,,,,,,,,,,
gedfr,Sti_GedenkFried,Stiftung Gedenken und Frieden,1,,,,,,,,,,,,
germeu,Germ_EU,Germersheim Europa-Union Deutschland e.V.,1,,,,,,,,,,,,
ghan,Gem_HorbNeck,Gemeinde Horb am Neckar,1,,,,,,,,,,,,
gl,Gem_Lauch,Gemeinde Lauchringen,1,,,,,,,,,,,,
grs,GRS,Gesellschaft fuer Anlagen- und Reaktorsicherheit (GRS) mbH,1,,,,,,,,,,,,
gruenebw,gruene_BW,Gruene Baden-Wuerttemberg,1,,,,,,,,,,,,
gruenejb,Gruene_JugendBW,Gruene Jugend Baden-Wuerttemberg,1,,,,,,,,,,,,
gruenju,Gruene_Jugend,Gruene Jugend,1,,,,,,,,,,,,
gssf,Ges_StrukFra,Gesellschaft zum Studium strukturpolitischer Fragen e.V.,1,,,,,,,,,,,,
hausaus,Haushalts_Aus,Haushaltsausschuss,1,,,,,,,,,,,,
hausko,Haushalts_Kont,Haushalts-Kontrollausschuss,1,,,,,,,,,,,,
hbs,Heirich_Boell,Heinrich-Boell-Stiftung e.V.,1,,,,,,,,,,,,
hbwl,DH_BWL,Duale Hochschule Baden-Wuerttemberg Loerrach,1,,,,,,,,,,,,
hochbo,Regverb_HochBod,Regionalverband Hochrhein-Bodensee,1,,,,,,,,,,,,
hospiz,Hospiz,Hospizdienst e.V.,1,,,,,,,,,,,,
human,humanity,Humanity in Action e.V.,1,,,,,,,,,,,,
iep,IEP,Institut fuer Europaeische Politik e.V. (IEP),1,,,,,,,,,,,,
iffs,IFFS_EU,Institute for Freedom of Faith & Security in Europe,1,,,,,,,,,,,,
ikw,IchKannWas,Ich kann was_Initiative fuer Kinder und Jugendliche e.V.,1,,,,,,,,,,,,
imu,IMUniGall,Institut fuer Mobilitaet der Universitaet St. Gallen,1,,,,,,,,,,,,
inhe,InHei,Ausschuss fuer Inneres und Heimat,1,,,,,,,,,,,,
ipww,IntPreisWW,Internationaler Preis des Westfaelischen Weltfriedens,1,,,,,,,,,,,,
jacqu,Jaqu_Delors,Jacques Delors Centre,1,,,,,,,,,,,,
julib,JungLib_BW,Junge Liberalen Baden-Wuerttemberg,1,,,,,,,,,,,,
kfw,Kred_Wieder,Kreditanstalt fuer Wiederaufbau (KfW),1,,,,,,,,,,,,
kift,KarlsIns_Tech,Karlsruher Institut fuer Technologie,1,,,,,,,,,,,,
klwald,Kreis_LandWald,Kreistag Landkreis Waldshut,1,,,,,,,,,,,,
kolbw,KLBW,Koalitionsausschuss Landesregierung Baden-Wuerttemberg,1,,,,,,,,,,,,
kreige,Kreis_Germ,Kreisverband Germersheim,1,,,,,,,,,,,,
kriese,ZKKvH,Unterausschuss fuer Zivile Krisenpraevention, Konfliktbearbeitung und vernetztes Handeln,1,,,,,,,,,,,,
kum,KuM,Ausschuss fuer Kultur und Medien,1,,,,,,,,,,,,
kvgruent,KreisBue_gruen,Kreisvorstand BUENDNIS 90/DIE GRUENEN Tuebingen,1,,,,,,,,,,,,
lfafdp,LFAIuR_FDP,Landesfachausschusses (LFA) Innen und Recht der FDP Baden-Wuerttemberg,1,,,,,,,,,,,,
lgs,Landge_Stutt,Landgericht Stuttgart,1,,,,,,,,,,,,
lisl,LiSL,Liberale Schwule und Lesben (LiSL) Deutschland e.V.,1,,,,,,,,,,,,
lkr,Landkreis_Rav,Landkreis Ravensburg,1,,,,,,,,,,,,
ltbw,Landtag_BW,Landtag Baden-Wuerttemberg,1,,,,,,,,,,,,
luther,LutherianHigh,Lutherian High School Little Rock,1,,,,,,,,,,,,
lvfdp,Landesvors_FDP,Landesvorstand FDP,1,,,,,,,,,,,,
lvgruenbw,Landvors_GruenBW,Landesvorstand Buendnis 90/Die Gruenen Baden-Wuerttemberg,1,,,,,,,,,,,,
lvgruenr,Landvors_GruenR,Landesvorstand der Gruenen Jugend Rheinlandpfalz,1,,,,,,,,,,,,
lvjlbw,Landesvors_jungLib,Landesvorstand der Jungen Liberalen Baden-Wuerttemberg,1,,,,,,,,,,,,
lvspdbw,Landesvors_SPDBW,Landesvorstand der SPD Baden-Wuerttemberg,1,,,,,,,,,,,,
marsh,MarshFundUS,German Marshall Fund of the US,1,,,,,,,,,,,,
nachricht,Vertrauen_Nachricht,Vertrauensgremium fuer die geheimen Haushaltsplaene der Nachrichtendienste des Bundes,1,,,,,,,,,,,,
neuver,Sti_NeuVer,Stiftung Neue Verantwortung e.V.,1,,,,,,,,,,,,
ott,Arb_Ott,Arbeitsgemeinschaft industrieller Forschungsvereinigungen Otto von Guericke e.V.,1,,,,,,,,,,,,
ow,erst_ostfriWinz,Erste Ostfriesesche Winzergenossenschaft eG i.G.,1,,,,,,,,,,,,
parlnato,Parlvers_NATO,Parlamentarische Versammlung NATO,1,,,,,,,,,,,,
privH,Verb_privHochschulen,Verband der privaten Hochschulen e.V.,1,,,,,,,,,,,,
pz,Progr_Zent,Das Progressive Zentrum e.V.,1,,,,,,,,,,,,
rechn,Rechpruef,Rechnungspruefungsausschuss,1,,,,,,,,,,,,
regio,ProRegio,Pro RegioStadtbahn e.V.,1,,,,,,,,,,,,
reinhold,Reinhold_maier,Reinhold-Maier-Stiftung,1,,,,,,,,,,,,
richter,Richtwahl,Richterwahlausschuss,1,,,,,,,,,,,,
rpgruen,RP_Gruen,Rheinland-Pfaelzischen Landesgruppe der Gruenen Bundestagsabgeordneten,1,,,,,,,,,,,,
ruv,RUV,Ausschuss fuer Recht und Verbraucherschutz,1,,,,,,,,,,,,
schwarz,Schwarzwald,Schwarzwaelder Bote,1,,,,,,,,,,,,
sofr,Arb_Frau,Arbeitsgemeinschaft Sozialdemokratischer Frauen Kreisverband Waldshut,1,,,,,,,,,,,,
spdw,SPD_wald,SPD-Kreisverband Waldshut,1,,,,,,,,,,,,
stanto,St_Antony,St Antony's College,1,,,,,,,,,,,,
start,START,START-Stiftung gemeinnuetzige GmbH,1,,,,,,,,,,,,
suedgruen,Landvors_SuedGruen,Landesvorsitz der Suedwest-Gruenen,1,,,,,,,,,,,,
swar,Stadtradt_WaR,Stadtrat Woerth am Rhein,1,,,,,,,,,,,,
swr,swr,SWR,1,,,,,,,,,,,,
ths,theodorHeuss,Theodor-Heuss-Stiftung,1,,,,,,,,,,,,
tuerkde,TuerkDe_StuduAk,Tuerkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,,,,,,,,,,,,
tuwas,TuWasGem,TuWas Stiftung fuer Gemeinsinn,1,,,,,,,,,,,,
tuwaseu,TuWasEU,TuWas fuer Europa e.V.,1,,,,,,,,,,,,
ullstein,Ulstein_Buch,Ullstein Buchverlage GmbH,1,,,,,,,,,,,,
Unffw,Unforwomen,United Nations Development Fund for Women,1,,,,,,,,,,,,
uniH,Uni_Heid,Universitaet Heidelberg,1,,,,,,,,,,,,
uniKa,Uni_Karl,Universitaet Karlsruhe,1,,,,,,,,,,,,
uniKo,Uni_Kons,Universitaet Konstanz,1,,,,,,,,,,,,
uniM,Uni_Mann,Universitaet Mannheim,1,,,,,,,,,,,,
uniR,Uni_Reg,Universitaet Regensburg,1,,,,,,,,,,,,
uniZ,Uni_Zuerich,Universitaet Zuerich,1,,,,,,,,,,,,
unns,UnnS,Ausschuss fuer Umwelt, Naturschutz und nukleare Sicherheit,1,,,,,,,,,,,,
unters,Untersaus,Untersuchungsausschuss,1,,,,,,,,,,,,
Unwom,UNComm_women,UN Commission on the Status of Women,1,,,,,,,,,,,,
ut,eber_karlUniT,Eberhard Karls Universitaet Tuebingen,1,,,,,,,,,,,,
vdfg,VDFG,Vereinigung Deutsch-Franzoesischer Gesellschaften fuer Europa e.V. (VDFG),1,,,,,,,,,,,,
vdi,Verk_dIn,Ausschuss fuer Verkehr und digitale Infrastruktur,1,,,,,,,,,,,,
verant,Sti_Verantw,Stiftung Verantwortungseigentum e.V.,1,,,,,,,,,,,,
verbreg,Verb_RegNord,Verbandsversammlung Regionalverband Nordschwarzwald,1,,,,,,,,,,,,
verge,Gegen_Vergessen,Gegen Vergessen Fuer Demokratie e.V.,1,,,,,,,,,,,,
vermitt,Vermittl,Vermittlungsausschuss,1,,,,,,,,,,,,
vertei,VerteidAuss,Verteidigungsausschuss,1,,,,,,,,,,,,
wahl,Wahlauss,Wahlausschuss,1,,,,,,,,,,,,
wds,wolfgang,Wolfgang-Doering-Stiftung,1,,,,,,,,,,,,
wig,WIG,Ausschuss fuer Wahlpruefung, Immunitaet und Geschaeftsordnung,1,,,,,,,,,,,,
wirtaus,Wirtschauss,Wirtschaftsausschuss,1,,,,,,,,,,,,
wirtspd,Wirt_SPD,Wirtschaftsforum der SPD e.V.,1,,,,,,,,,,,,
wohn,Verb_Wohneig,Verband Wohneigentum e.V.,1,,,,,,,,,,,,
wuk,Bund_WuK,Bundesministerium fuer Wirtschaft und Klimaschutz,1,,,,,,,,,,,,
yec,YEC,Young Economy Club e.V.,1,,,,,,,,,,,,
zdf,ZDF,ZDF,1,,,,,,,,,,,,
zifg,ZIFG,Zentrum fuer Internationale Friedenseinsaetze gemeinnuetzige GmbH,1,,,,,,,,,,,,
zoes,ZOES,Zukunftsforum Oeffentliche Sicherheit e.V.,1,,,,,,,,,,,,
